"address","address_lat","address_lng","nearest_mrt_name","distance_to_nearest_mrt"
"406 ANG MO KIO AVENUE 10",1.3620328,103.8538267,"Ang Mo Kio",1018
"323 ANG MO KIO AVENUE 3",1.3679306,103.8476677,"Ang Mo Kio",354
"314 ANG MO KIO AVENUE 3",1.3662743,103.8501284,"Ang Mo Kio",490
"116 ANG MO KIO AVENUE 4",1.373387,103.8364304,"Mayflower",119
"170 ANG MO KIO AVENUE 4",1.3740017,103.8367065,"Mayflower",151
"172 ANG MO KIO AVENUE 4",1.3746617,103.8366159,"Mayflower",304
"510 ANG MO KIO AVENUE 8",1.3734149,103.8492068,"Ang Mo Kio",587
"508 ANG MO KIO AVENUE 8",1.3737824,103.8490256,"Ang Mo Kio",689
"320 ANG MO KIO AVENUE 1",1.3655809,103.8483908,"Ang Mo Kio",555
"225 ANG MO KIO AVENUE 1",1.3674729,103.8380651,"Mayflower",800
"331 ANG MO KIO AVENUE 1",1.3620144,103.8508674,"Ang Mo Kio",1161
"332 ANG MO KIO AVENUE 1",1.3616327,103.8519925,"Ang Mo Kio",1029
"215 ANG MO KIO AVENUE 1",1.3666899,103.84155,"Mayflower",1243
"208 ANG MO KIO AVENUE 1",1.3654531,103.8427349,"Ang Mo Kio",1491
"218 ANG MO KIO AVENUE 1",1.3651871,103.8416028,"Mayflower",1477
"333 ANG MO KIO AVENUE 1",1.3613296,103.8517041,"Ang Mo Kio",1182
"319 ANG MO KIO AVENUE 1",1.3650738,103.8473951,"Ang Mo Kio",872
"223 ANG MO KIO AVENUE 1",1.3660809,103.8380651,"Bright Hill",994
"226F ANG MO KIO AVENUE 1",1.3668682,103.8399937,"Mayflower",1148
"321 ANG MO KIO AVENUE 1",1.3651407,103.8484821,"Ang Mo Kio",749
"330 ANG MO KIO AVENUE 1",1.3623423,103.8510185,"Ang Mo Kio",1003
"219 ANG MO KIO AVENUE 1",1.3659933,103.8405108,"Mayflower",1285
"308B ANG MO KIO AVENUE 1",1.3653698,103.8445062,"Ang Mo Kio",1064
"220 ANG MO KIO AVENUE 1",1.3656276,103.8404202,"Mayflower",1463
"310C ANG MO KIO AVENUE 1",1.3642679,103.8453966,"Ang Mo Kio",999
"308A ANG MO KIO AVENUE 1",1.3655146,103.8440661,"Ang Mo Kio",995
"216 ANG MO KIO AVENUE 1",1.3662074,103.8414177,"Mayflower",1369
"534 ANG MO KIO AVENUE 10",1.3741187,103.8540985,"Ang Mo Kio",986
"578 ANG MO KIO AVENUE 10",1.3718165,103.8549308,"Ang Mo Kio",770
"452 ANG MO KIO AVENUE 10",1.3688949,103.856313,"Ang Mo Kio",853
"560 ANG MO KIO AVENUE 10",1.3707919,103.8591716,"Ang Mo Kio",1143
"435 ANG MO KIO AVENUE 10",1.3677429,103.8541886,"Ang Mo Kio",675
"577 ANG MO KIO AVENUE 10",1.3718914,103.8559706,"Ang Mo Kio",888
"456 ANG MO KIO AVENUE 10",1.367206,103.8585374,"Ang Mo Kio",1204
"556 ANG MO KIO AVENUE 10",1.3720459,103.8577221,"Ang Mo Kio",1162
"403 ANG MO KIO AVENUE 10",1.3613694,103.8545514,"Ang Mo Kio",1130
"461 ANG MO KIO AVENUE 10",1.3675797,103.8572692,"Ang Mo Kio",1475
"444 ANG MO KIO AVENUE 10",1.3666372,103.8555477,"Ang Mo Kio",912
"445 ANG MO KIO AVENUE 10",1.3670042,103.8556387,"Ang Mo Kio",892
"466 ANG MO KIO AVENUE 10",1.3659355,103.8570108,"Ang Mo Kio",1168
"576 ANG MO KIO AVENUE 10",1.371447,103.8547863,"Ang Mo Kio",656
"476 ANG MO KIO AVENUE 10",1.3624489,103.8578127,"Ang Mo Kio",1452
"441 ANG MO KIO AVENUE 10",1.366061,103.8540983,"Ang Mo Kio",759
"416 ANG MO KIO AVENUE 10",1.3645847,103.8550943,"Ang Mo Kio",936
"536 ANG MO KIO AVENUE 10",1.3744841,103.8542797,"Ang Mo Kio",1231
"457 ANG MO KIO AVENUE 10",1.3657393,103.8588092,"Ang Mo Kio",1378
"558 ANG MO KIO AVENUE 10",1.3712314,103.8591716,"Ang Mo Kio",1213
"442 ANG MO KIO AVENUE 10",1.3657425,103.8551797,"Ang Mo Kio",867
"474 ANG MO KIO AVENUE 10",1.3627956,103.8580137,"Ang Mo Kio",1460
"541 ANG MO KIO AVENUE 10",1.3740282,103.855624,"Ang Mo Kio",1205
"443 ANG MO KIO AVENUE 10",1.3661487,103.8552796,"Ang Mo Kio",950
"540 ANG MO KIO AVENUE 10",1.3753408,103.8549817,"Ang Mo Kio",1311
"542 ANG MO KIO AVENUE 10",1.3746947,103.8558197,"Ang Mo Kio",1272
"557 ANG MO KIO AVENUE 10",1.3716063,103.8577221,"Ang Mo Kio",1053
"417 ANG MO KIO AVENUE 10",1.3651212,103.8549631,"Ang Mo Kio",883
"405 ANG MO KIO AVENUE 10",1.3617045,103.8536003,"Ang Mo Kio",1018
"404 ANG MO KIO AVENUE 10",1.3617351,103.854642,"Ang Mo Kio",1125
"473 ANG MO KIO AVENUE 10",1.363114,103.8568162,"Ang Mo Kio",1268
"418 ANG MO KIO AVENUE 10",1.365035,103.8540079,"Ang Mo Kio",807
"434 ANG MO KIO AVENUE 10",1.3679592,103.8536414,"Ang Mo Kio",568
"561 ANG MO KIO AVENUE 10",1.3705796,103.8579033,"Ang Mo Kio",1009
"440 ANG MO KIO AVENUE 10",1.3665005,103.8540989,"Ang Mo Kio",768
"419 ANG MO KIO AVENUE 10",1.3654037,103.8541764,"Ang Mo Kio",790
"462 ANG MO KIO AVENUE 10",1.3669161,103.8579939,"Ang Mo Kio",1374
"475 ANG MO KIO AVENUE 10",1.362694,103.8566124,"Ang Mo Kio",1326
"463 ANG MO KIO AVENUE 10",1.3669193,103.8574503,"Ang Mo Kio",1277
"549 ANG MO KIO AVENUE 10",1.3730959,103.8573621,"Ang Mo Kio",1113
"471 ANG MO KIO AVENUE 10",1.3634808,103.8567256,"Ang Mo Kio",1157
"432 ANG MO KIO AVENUE 10",1.3683258,103.8535534,"Ang Mo Kio",539
"465 ANG MO KIO AVENUE 10",1.3662627,103.8569974,"Ang Mo Kio",1204
"550 ANG MO KIO AVENUE 10",1.3735818,103.8581756,"Ang Mo Kio",1220
"575 ANG MO KIO AVENUE 10",1.3714234,103.8558242,"Ang Mo Kio",816
"450 ANG MO KIO AVENUE 10",1.3684682,103.8555491,"Ang Mo Kio",763
"559 ANG MO KIO AVENUE 10",1.3710197,103.8579031,"Ang Mo Kio",1087
"202 ANG MO KIO AVENUE 3",1.3684345,103.8447834,"Ang Mo Kio",1190
"422 ANG MO KIO AVENUE 3",1.3679063,103.851562,"Ang Mo Kio",504
"120 ANG MO KIO AVENUE 3",1.370072,103.8445869,"Ang Mo Kio",920
"133 ANG MO KIO AVENUE 3",1.3711623,103.8426375,"Mayflower",985
"233 ANG MO KIO AVENUE 3",1.3676276,103.8367174,"Mayflower",642
"126 ANG MO KIO AVENUE 3",1.3716164,103.8435905,"Mayflower",1086
"129 ANG MO KIO AVENUE 3",1.3699458,103.8419624,"Mayflower",836
"565 ANG MO KIO AVENUE 3",1.3694833,103.8581978,"Ang Mo Kio",945
"235 ANG MO KIO AVENUE 3",1.366935,103.8362071,"Bright Hill",929
"343 ANG MO KIO AVENUE 3",1.3683609,103.8491162,"Ang Mo Kio",177
"201 ANG MO KIO AVENUE 3",1.3688265,103.8445869,"Ang Mo Kio",1269
"301 ANG MO KIO AVENUE 3",1.3674265,103.8459455,"Ang Mo Kio",595
"213 ANG MO KIO AVENUE 3",1.3677836,103.8412807,"Mayflower",1064
"302 ANG MO KIO AVENUE 3",1.3670437,103.8456513,"Ang Mo Kio",739
"346 ANG MO KIO AVENUE 3",1.3671341,103.8497283,"Ang Mo Kio",338
"119 ANG MO KIO AVENUE 3",1.369558,103.8447681,"Ang Mo Kio",1015
"322 ANG MO KIO AVENUE 3",1.3683506,103.8477345,"Ang Mo Kio",303
"313 ANG MO KIO AVENUE 3",1.3666693,103.8501128,"Ang Mo Kio",403
"585 ANG MO KIO AVENUE 3",1.3706862,103.8524706,"Ang Mo Kio",403
"128 ANG MO KIO AVENUE 3",1.3707399,103.8436398,"Ang Mo Kio",1024
"587 ANG MO KIO AVENUE 3",1.370236,103.852422,"Ang Mo Kio",334
"348 ANG MO KIO AVENUE 3",1.3661727,103.8478469,"Ang Mo Kio",592
"211 ANG MO KIO AVENUE 3",1.3692104,103.8415973,"Mayflower",917
"345 ANG MO KIO AVENUE 3",1.3675142,103.8497372,"Ang Mo Kio",323
"571 ANG MO KIO AVENUE 3",1.3700064,103.8549834,"Ang Mo Kio",696
"570 ANG MO KIO AVENUE 3",1.3698332,103.8558859,"Ang Mo Kio",724
"425 ANG MO KIO AVENUE 3",1.3691892,103.8515952,"Ang Mo Kio",244
"121 ANG MO KIO AVENUE 3",1.3697115,103.8435905,"Ang Mo Kio",1109
"584 ANG MO KIO AVENUE 3",1.3706973,103.8534173,"Ang Mo Kio",520
"328 ANG MO KIO AVENUE 3",1.3666831,103.8478504,"Ang Mo Kio",565
"122 ANG MO KIO AVENUE 3",1.3702187,103.8433629,"Ang Mo Kio",1014
"230 ANG MO KIO AVENUE 3",1.3688659,103.837884,"Mayflower",516
"127 ANG MO KIO AVENUE 3",1.3711758,103.8437715,"Ang Mo Kio",988
"424 ANG MO KIO AVENUE 3",1.3686601,103.8507755,"Ang Mo Kio",231
"212 ANG MO KIO AVENUE 3",1.3688441,103.8415977,"Mayflower",1012
"586 ANG MO KIO AVENUE 3",1.3701472,103.8534149,"Ang Mo Kio",388
"329 ANG MO KIO AVENUE 3",1.3666153,103.8468517,"Ang Mo Kio",586
"232 ANG MO KIO AVENUE 3",1.3682103,103.8372499,"Mayflower",604
"117 ANG MO KIO AVENUE 4",1.3736407,103.8358007,"Mayflower",162
"178 ANG MO KIO AVENUE 4",1.376337,103.8369993,"Mayflower",636
"631 ANG MO KIO AVENUE 4",1.3795472,103.8406919,"Yio Chu Kang",860
"174 ANG MO KIO AVENUE 4",1.3752021,103.8376742,"Mayflower",414
"156 ANG MO KIO AVENUE 4",1.3753108,103.8406889,"Mayflower",816
